Title,"HE qualifications obtained by subject area, sex, level of qualification, mode of study and country of HE provider",,,,,
(4) Veterinary science,Postgraduate (research),All,Scotland,Total,2015/16,10
(4) Veterinary science,Postgraduate (research),All,Scotland,Female,2016/17,15
(4) Veterinary science,Postgraduate (research),All,Scotland,Male,2016/17,5
(4) Veterinary science,Postgraduate (research),All,Scotland,Other,2016/17,0
(4) Veterinary science,Postgraduate (research),All,Scotland,Total,2016/17,20
(4) Veterinary science,Postgraduate (research),All,Scotland,Female,2017/18,10
(4) Veterinary science,Postgraduate (research),All,Scotland,Male,2017/18,5
(4) Veterinary science,Postgraduate (research),All,Scotland,Other,2017/18,0
(4) Veterinary science,Postgraduate (research),All,Scotland,Total,2017/18,10
(4) Veterinary science,Postgraduate (research),All,Scotland,Female,2018/19,10
(4) Veterinary science,Postgraduate (research),All,Scotland,Male,2018/19,10
(4) Veterinary science,Postgraduate (research),All,Scotland,Other,2018/19,0
(4) Veterinary science,Postgraduate (research),All,Scotland,Total,2018/19,15
(4) Veterinary science,Postgraduate (taught),Full-time,England,Female,2014/15,55
(4) Veterinary science,Postgraduate (taught),Full-time,England,Male,2014/15,20
(4) Veterinary science,Postgraduate (taught),Full-time,England,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Full-time,England,Total,2014/15,75
(4) Veterinary science,Postgraduate (taught),Full-time,England,Female,2015/16,45
(4) Veterinary science,Postgraduate (taught),Full-time,England,Male,2015/16,20
(4) Veterinary science,Postgraduate (taught),Full-time,England,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Full-time,England,Total,2015/16,65
(4) Veterinary science,Postgraduate (taught),Full-time,England,Female,2016/17,60
(4) Veterinary science,Postgraduate (taught),Full-time,England,Male,2016/17,25
(4) Veterinary science,Postgraduate (taught),Full-time,England,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Full-time,England,Total,2016/17,85
(4) Veterinary science,Postgraduate (taught),Full-time,England,Female,2017/18,45
(4) Veterinary science,Postgraduate (taught),Full-time,England,Male,2017/18,30
(4) Veterinary science,Postgraduate (taught),Full-time,England,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Full-time,England,Total,2017/18,75
(4) Veterinary science,Postgraduate (taught),Full-time,England,Female,2018/19,60
(4) Veterinary science,Postgraduate (taught),Full-time,England,Male,2018/19,35
(4) Veterinary science,Postgraduate (taught),Full-time,England,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Full-time,England,Total,2018/19,95
(4) Veterinary science,Postgraduate (taught),Part-time,England,Female,2014/15,30
(4) Veterinary science,Postgraduate (taught),Part-time,England,Male,2014/15,15
(4) Veterinary science,Postgraduate (taught),Part-time,England,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,England,Total,2014/15,45
(4) Veterinary science,Postgraduate (taught),Part-time,England,Female,2015/16,85
(4) Veterinary science,Postgraduate (taught),Part-time,England,Male,2015/16,35
(4) Veterinary science,Postgraduate (taught),Part-time,England,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,England,Total,2015/16,115
(4) Veterinary science,Postgraduate (taught),Part-time,England,Female,2016/17,105
(4) Veterinary science,Postgraduate (taught),Part-time,England,Male,2016/17,50
(4) Veterinary science,Postgraduate (taught),Part-time,England,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,England,Total,2016/17,155
(4) Veterinary science,Postgraduate (taught),Part-time,England,Female,2017/18,130
(4) Veterinary science,Postgraduate (taught),Part-time,England,Male,2017/18,45
(4) Veterinary science,Postgraduate (taught),Part-time,England,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Part-time,England,Total,2017/18,180
(4) Veterinary science,Postgraduate (taught),Part-time,England,Female,2018/19,160
(4) Veterinary science,Postgraduate (taught),Part-time,England,Male,2018/19,80
(4) Veterinary science,Postgraduate (taught),Part-time,England,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Part-time,England,Total,2018/19,240
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Female,2014/15,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Male,2014/15,15
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Total,2014/15,25
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Female,2015/16,5
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Male,2015/16,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Total,2015/16,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Female,2016/17,5
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Male,2016/17,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Total,2016/17,15
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Female,2017/18,5
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Male,2017/18,5
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Total,2017/18,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Female,2018/19,10
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Male,2018/19,5
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Full-time,Scotland,Total,2018/19,15
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Female,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Male,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Total,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Female,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Male,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Total,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Female,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Male,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Total,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Female,2017/18,5
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Male,2017/18,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Total,2017/18,5
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Female,2018/19,10
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Male,2018/19,5
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Part-time,Scotland,Total,2018/19,15
(4) Veterinary science,Postgraduate (taught),Full-time,All,Female,2014/15,65
(4) Veterinary science,Postgraduate (taught),Full-time,All,Male,2014/15,35
(4) Veterinary science,Postgraduate (taught),Full-time,All,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Full-time,All,Total,2014/15,100
(4) Veterinary science,Postgraduate (taught),Full-time,All,Female,2015/16,45
(4) Veterinary science,Postgraduate (taught),Full-time,All,Male,2015/16,30
(4) Veterinary science,Postgraduate (taught),Full-time,All,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Full-time,All,Total,2015/16,75
(4) Veterinary science,Postgraduate (taught),Full-time,All,Female,2016/17,65
(4) Veterinary science,Postgraduate (taught),Full-time,All,Male,2016/17,35
(4) Veterinary science,Postgraduate (taught),Full-time,All,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Full-time,All,Total,2016/17,100
(4) Veterinary science,Postgraduate (taught),Full-time,All,Female,2017/18,50
(4) Veterinary science,Postgraduate (taught),Full-time,All,Male,2017/18,30
(4) Veterinary science,Postgraduate (taught),Full-time,All,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Full-time,All,Total,2017/18,85
(4) Veterinary science,Postgraduate (taught),Full-time,All,Female,2018/19,70
(4) Veterinary science,Postgraduate (taught),Full-time,All,Male,2018/19,40
(4) Veterinary science,Postgraduate (taught),Full-time,All,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Full-time,All,Total,2018/19,110
(4) Veterinary science,Postgraduate (taught),Part-time,All,Female,2014/15,30
(4) Veterinary science,Postgraduate (taught),Part-time,All,Male,2014/15,15
(4) Veterinary science,Postgraduate (taught),Part-time,All,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),Part-time,All,Total,2014/15,45
(4) Veterinary science,Postgraduate (taught),Part-time,All,Female,2015/16,85
(4) Veterinary science,Postgraduate (taught),Part-time,All,Male,2015/16,35
(4) Veterinary science,Postgraduate (taught),Part-time,All,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),Part-time,All,Total,2015/16,120
(4) Veterinary science,Postgraduate (taught),Part-time,All,Female,2016/17,110
(4) Veterinary science,Postgraduate (taught),Part-time,All,Male,2016/17,50
(4) Veterinary science,Postgraduate (taught),Part-time,All,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),Part-time,All,Total,2016/17,155
(4) Veterinary science,Postgraduate (taught),Part-time,All,Female,2017/18,135
(4) Veterinary science,Postgraduate (taught),Part-time,All,Male,2017/18,45
(4) Veterinary science,Postgraduate (taught),Part-time,All,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),Part-time,All,Total,2017/18,185
(4) Veterinary science,Postgraduate (taught),Part-time,All,Female,2018/19,170
(4) Veterinary science,Postgraduate (taught),Part-time,All,Male,2018/19,85
(4) Veterinary science,Postgraduate (taught),Part-time,All,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),Part-time,All,Total,2018/19,255
(4) Veterinary science,Postgraduate (taught),All,All,Female,2014/15,95
(4) Veterinary science,Postgraduate (taught),All,All,Male,2014/15,50
(4) Veterinary science,Postgraduate (taught),All,All,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),All,All,Total,2014/15,150
(4) Veterinary science,Postgraduate (taught),All,All,Female,2015/16,130
(4) Veterinary science,Postgraduate (taught),All,All,Male,2015/16,65
(4) Veterinary science,Postgraduate (taught),All,All,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),All,All,Total,2015/16,195
(4) Veterinary science,Postgraduate (taught),All,All,Female,2016/17,175
(4) Veterinary science,Postgraduate (taught),All,All,Male,2016/17,80
(4) Veterinary science,Postgraduate (taught),All,All,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),All,All,Total,2016/17,255
(4) Veterinary science,Postgraduate (taught),All,All,Female,2017/18,185
(4) Veterinary science,Postgraduate (taught),All,All,Male,2017/18,80
(4) Veterinary science,Postgraduate (taught),All,All,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),All,All,Total,2017/18,265
(4) Veterinary science,Postgraduate (taught),All,All,Female,2018/19,240
(4) Veterinary science,Postgraduate (taught),All,All,Male,2018/19,125
(4) Veterinary science,Postgraduate (taught),All,All,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),All,All,Total,2018/19,365
(4) Veterinary science,Postgraduate (taught),All,England,Female,2014/15,85
(4) Veterinary science,Postgraduate (taught),All,England,Male,2014/15,40
(4) Veterinary science,Postgraduate (taught),All,England,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),All,England,Total,2014/15,125
(4) Veterinary science,Postgraduate (taught),All,England,Female,2015/16,125
(4) Veterinary science,Postgraduate (taught),All,England,Male,2015/16,55
(4) Veterinary science,Postgraduate (taught),All,England,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),All,England,Total,2015/16,180
(4) Veterinary science,Postgraduate (taught),All,England,Female,2016/17,170
(4) Veterinary science,Postgraduate (taught),All,England,Male,2016/17,75
(4) Veterinary science,Postgraduate (taught),All,England,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),All,England,Total,2016/17,245
(4) Veterinary science,Postgraduate (taught),All,England,Female,2017/18,180
(4) Veterinary science,Postgraduate (taught),All,England,Male,2017/18,75
(4) Veterinary science,Postgraduate (taught),All,England,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),All,England,Total,2017/18,255
(4) Veterinary science,Postgraduate (taught),All,England,Female,2018/19,220
(4) Veterinary science,Postgraduate (taught),All,England,Male,2018/19,115
(4) Veterinary science,Postgraduate (taught),All,England,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),All,England,Total,2018/19,335
(4) Veterinary science,Postgraduate (taught),All,Scotland,Female,2014/15,10
(4) Veterinary science,Postgraduate (taught),All,Scotland,Male,2014/15,15
(4) Veterinary science,Postgraduate (taught),All,Scotland,Other,2014/15,0
(4) Veterinary science,Postgraduate (taught),All,Scotland,Total,2014/15,25
(4) Veterinary science,Postgraduate (taught),All,Scotland,Female,2015/16,5
(4) Veterinary science,Postgraduate (taught),All,Scotland,Male,2015/16,10
(4) Veterinary science,Postgraduate (taught),All,Scotland,Other,2015/16,0
(4) Veterinary science,Postgraduate (taught),All,Scotland,Total,2015/16,15
(4) Veterinary science,Postgraduate (taught),All,Scotland,Female,2016/17,5
(4) Veterinary science,Postgraduate (taught),All,Scotland,Male,2016/17,10
(4) Veterinary science,Postgraduate (taught),All,Scotland,Other,2016/17,0
(4) Veterinary science,Postgraduate (taught),All,Scotland,Total,2016/17,15
(4) Veterinary science,Postgraduate (taught),All,Scotland,Female,2017/18,10
(4) Veterinary science,Postgraduate (taught),All,Scotland,Male,2017/18,5
(4) Veterinary science,Postgraduate (taught),All,Scotland,Other,2017/18,0
(4) Veterinary science,Postgraduate (taught),All,Scotland,Total,2017/18,15
(4) Veterinary science,Postgraduate (taught),All,Scotland,Female,2018/19,20
(4) Veterinary science,Postgraduate (taught),All,Scotland,Male,2018/19,10
(4) Veterinary science,Postgraduate (taught),All,Scotland,Other,2018/19,0
(4) Veterinary science,Postgraduate (taught),All,Scotland,Total,2018/19,30
(4) Veterinary science,All postgraduate,Full-time,All,Female,2014/15,110
(4) Veterinary science,All postgraduate,Full-time,All,Male,2014/15,65
(4) Veterinary science,All postgraduate,Full-time,All,Other,2014/15,0
(4) Veterinary science,All postgraduate,Full-time,All,Total,2014/15,175
(4) Veterinary science,All postgraduate,Full-time,All,Female,2015/16,95
(4) Veterinary science,All postgraduate,Full-time,All,Male,2015/16,55
(4) Veterinary science,All postgraduate,Full-time,All,Other,2015/16,0
(4) Veterinary science,All postgraduate,Full-time,All,Total,2015/16,150
(4) Veterinary science,All postgraduate,Full-time,All,Female,2016/17,125
(4) Veterinary science,All postgraduate,Full-time,All,Male,2016/17,50
(4) Veterinary science,All postgraduate,Full-time,All,Other,2016/17,0
(4) Veterinary science,All postgraduate,Full-time,All,Total,2016/17,175
(4) Veterinary science,All postgraduate,Full-time,All,Female,2017/18,110
(4) Veterinary science,All postgraduate,Full-time,All,Male,2017/18,55
(4) Veterinary science,All postgraduate,Full-time,All,Other,2017/18,0
(4) Veterinary science,All postgraduate,Full-time,All,Total,2017/18,165
(4) Veterinary science,All postgraduate,Full-time,All,Female,2018/19,115
(4) Veterinary science,All postgraduate,Full-time,All,Male,2018/19,65
(4) Veterinary science,All postgraduate,Full-time,All,Other,2018/19,0
(4) Veterinary science,All postgraduate,Full-time,All,Total,2018/19,180
(4) Veterinary science,All postgraduate,Part-time,All,Female,2014/15,40
(4) Veterinary science,All postgraduate,Part-time,All,Male,2014/15,20
(4) Veterinary science,All postgraduate,Part-time,All,Other,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,All,Total,2014/15,55
(4) Veterinary science,All postgraduate,Part-time,All,Female,2015/16,90
(4) Veterinary science,All postgraduate,Part-time,All,Male,2015/16,35
(4) Veterinary science,All postgraduate,Part-time,All,Other,2015/16,0
(4) Veterinary science,All postgraduate,Part-time,All,Total,2015/16,125
(4) Veterinary science,All postgraduate,Part-time,All,Female,2016/17,110
(4) Veterinary science,All postgraduate,Part-time,All,Male,2016/17,55
(4) Veterinary science,All postgraduate,Part-time,All,Other,2016/17,0
(4) Veterinary science,All postgraduate,Part-time,All,Total,2016/17,165
(4) Veterinary science,All postgraduate,Part-time,All,Female,2017/18,140
(4) Veterinary science,All postgraduate,Part-time,All,Male,2017/18,55
(4) Veterinary science,All postgraduate,Part-time,All,Other,2017/18,0
(4) Veterinary science,All postgraduate,Part-time,All,Total,2017/18,195
(4) Veterinary science,All postgraduate,Part-time,All,Female,2018/19,180
(4) Veterinary science,All postgraduate,Part-time,All,Male,2018/19,90
(4) Veterinary science,All postgraduate,Part-time,All,Other,2018/19,0
(4) Veterinary science,All postgraduate,Part-time,All,Total,2018/19,270
(4) Veterinary science,All postgraduate,Full-time,England,Female,2014/15,90
(4) Veterinary science,All postgraduate,Full-time,England,Male,2014/15,45
(4) Veterinary science,All postgraduate,Full-time,England,Other,2014/15,0
(4) Veterinary science,All postgraduate,Full-time,England,Total,2014/15,135
(4) Veterinary science,All postgraduate,Full-time,England,Female,2015/16,85
(4) Veterinary science,All postgraduate,Full-time,England,Male,2015/16,45
(4) Veterinary science,All postgraduate,Full-time,England,Other,2015/16,0
(4) Veterinary science,All postgraduate,Full-time,England,Total,2015/16,130
(4) Veterinary science,All postgraduate,Full-time,England,Female,2016/17,105
(4) Veterinary science,All postgraduate,Full-time,England,Male,2016/17,40
(4) Veterinary science,All postgraduate,Full-time,England,Other,2016/17,0
(4) Veterinary science,All postgraduate,Full-time,England,Total,2016/17,145
(4) Veterinary science,All postgraduate,Full-time,England,Female,2017/18,95
(4) Veterinary science,All postgraduate,Full-time,England,Male,2017/18,50
(4) Veterinary science,All postgraduate,Full-time,England,Other,2017/18,0
(4) Veterinary science,All postgraduate,Full-time,England,Total,2017/18,145
(4) Veterinary science,All postgraduate,Full-time,England,Female,2018/19,100
(4) Veterinary science,All postgraduate,Full-time,England,Male,2018/19,50
(4) Veterinary science,All postgraduate,Full-time,England,Other,2018/19,0
(4) Veterinary science,All postgraduate,Full-time,England,Total,2018/19,150
(4) Veterinary science,All postgraduate,Part-time,England,Female,2014/15,35
(4) Veterinary science,All postgraduate,Part-time,England,Male,2014/15,20
(4) Veterinary science,All postgraduate,Part-time,England,Other,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,England,Total,2014/15,55
(4) Veterinary science,All postgraduate,Part-time,England,Female,2015/16,90
(4) Veterinary science,All postgraduate,Part-time,England,Male,2015/16,35
(4) Veterinary science,All postgraduate,Part-time,England,Other,2015/16,0
(4) Veterinary science,All postgraduate,Part-time,England,Total,2015/16,125
(4) Veterinary science,All postgraduate,Part-time,England,Female,2016/17,110
(4) Veterinary science,All postgraduate,Part-time,England,Male,2016/17,50
(4) Veterinary science,All postgraduate,Part-time,England,Other,2016/17,0
(4) Veterinary science,All postgraduate,Part-time,England,Total,2016/17,160
(4) Veterinary science,All postgraduate,Part-time,England,Female,2017/18,135
(4) Veterinary science,All postgraduate,Part-time,England,Male,2017/18,55
(4) Veterinary science,All postgraduate,Part-time,England,Other,2017/18,0
(4) Veterinary science,All postgraduate,Part-time,England,Total,2017/18,190
(4) Veterinary science,All postgraduate,Part-time,England,Female,2018/19,170
(4) Veterinary science,All postgraduate,Part-time,England,Male,2018/19,85
(4) Veterinary science,All postgraduate,Part-time,England,Other,2018/19,0
(4) Veterinary science,All postgraduate,Part-time,England,Total,2018/19,255
(4) Veterinary science,All postgraduate,Full-time,Scotland,Female,2014/15,20
(4) Veterinary science,All postgraduate,Full-time,Scotland,Male,2014/15,20
(4) Veterinary science,All postgraduate,Full-time,Scotland,Other,2014/15,0
(4) Veterinary science,All postgraduate,Full-time,Scotland,Total,2014/15,40
(4) Veterinary science,All postgraduate,Full-time,Scotland,Female,2015/16,10
(4) Veterinary science,All postgraduate,Full-time,Scotland,Male,2015/16,10
(4) Veterinary science,All postgraduate,Full-time,Scotland,Other,2015/16,0
(4) Veterinary science,All postgraduate,Full-time,Scotland,Total,2015/16,20
(4) Veterinary science,All postgraduate,Full-time,Scotland,Female,2016/17,20
(4) Veterinary science,All postgraduate,Full-time,Scotland,Male,2016/17,15
(4) Veterinary science,All postgraduate,Full-time,Scotland,Other,2016/17,0
(4) Veterinary science,All postgraduate,Full-time,Scotland,Total,2016/17,30
(4) Veterinary science,All postgraduate,Full-time,Scotland,Female,2017/18,15
(4) Veterinary science,All postgraduate,Full-time,Scotland,Male,2017/18,5
(4) Veterinary science,All postgraduate,Full-time,Scotland,Other,2017/18,0
(4) Veterinary science,All postgraduate,Full-time,Scotland,Total,2017/18,20
(4) Veterinary science,All postgraduate,Full-time,Scotland,Female,2018/19,15
(4) Veterinary science,All postgraduate,Full-time,Scotland,Male,2018/19,15
(4) Veterinary science,All postgraduate,Full-time,Scotland,Other,2018/19,0
(4) Veterinary science,All postgraduate,Full-time,Scotland,Total,2018/19,30
(4) Veterinary science,All postgraduate,Part-time,Scotland,Female,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Male,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Other,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Total,2014/15,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Female,2015/16,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Male,2015/16,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Other,2015/16,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Total,2015/16,5
(4) Veterinary science,All postgraduate,Part-time,Scotland,Female,2016/17,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Male,2016/17,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Other,2016/17,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Total,2016/17,5
(4) Veterinary science,All postgraduate,Part-time,Scotland,Female,2017/18,5
(4) Veterinary science,All postgraduate,Part-time,Scotland,Male,2017/18,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Other,2017/18,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Total,2017/18,5
(4) Veterinary science,All postgraduate,Part-time,Scotland,Female,2018/19,10
(4) Veterinary science,All postgraduate,Part-time,Scotland,Male,2018/19,5
(4) Veterinary science,All postgraduate,Part-time,Scotland,Other,2018/19,0
(4) Veterinary science,All postgraduate,Part-time,Scotland,Total,2018/19,15
(4) Veterinary science,All postgraduate,All,All,Female,2014/15,150
(4) Veterinary science,All postgraduate,All,All,Male,2014/15,80
(4) Veterinary science,All postgraduate,All,All,Other,2014/15,0
(4) Veterinary science,All postgraduate,All,All,Total,2014/15,230
(4) Veterinary science,All postgraduate,All,All,Female,2015/16,185
(4) Veterinary science,All postgraduate,All,All,Male,2015/16,90
(4) Veterinary science,All postgraduate,All,All,Other,2015/16,0
(4) Veterinary science,All postgraduate,All,All,Total,2015/16,275
(4) Veterinary science,All postgraduate,All,All,Female,2016/17,235
(4) Veterinary science,All postgraduate,All,All,Male,2016/17,105
(4) Veterinary science,All postgraduate,All,All,Other,2016/17,0
(4) Veterinary science,All postgraduate,All,All,Total,2016/17,340
(4) Veterinary science,All postgraduate,All,All,Female,2017/18,250
(4) Veterinary science,All postgraduate,All,All,Male,2017/18,110
(4) Veterinary science,All postgraduate,All,All,Other,2017/18,0
(4) Veterinary science,All postgraduate,All,All,Total,2017/18,360
(4) Veterinary science,All postgraduate,All,All,Female,2018/19,295
(4) Veterinary science,All postgraduate,All,All,Male,2018/19,155
(4) Veterinary science,All postgraduate,All,All,Other,2018/19,0
(4) Veterinary science,All postgraduate,All,All,Total,2018/19,450
(4) Veterinary science,All postgraduate,All,England,Female,2014/15,130
(4) Veterinary science,All postgraduate,All,England,Male,2014/15,60
(4) Veterinary science,All postgraduate,All,England,Other,2014/15,0
(4) Veterinary science,All postgraduate,All,England,Total,2014/15,190
(4) Veterinary science,All postgraduate,All,England,Female,2015/16,175
(4) Veterinary science,All postgraduate,All,England,Male,2015/16,80
(4) Veterinary science,All postgraduate,All,England,Other,2015/16,0
(4) Veterinary science,All postgraduate,All,England,Total,2015/16,255
(4) Veterinary science,All postgraduate,All,England,Female,2016/17,215
(4) Veterinary science,All postgraduate,All,England,Male,2016/17,90
(4) Veterinary science,All postgraduate,All,England,Other,2016/17,0
(4) Veterinary science,All postgraduate,All,England,Total,2016/17,310
(4) Veterinary science,All postgraduate,All,England,Female,2017/18,235
(4) Veterinary science,All postgraduate,All,England,Male,2017/18,105
(4) Veterinary science,All postgraduate,All,England,Other,2017/18,0
(4) Veterinary science,All postgraduate,All,England,Total,2017/18,335
(4) Veterinary science,All postgraduate,All,England,Female,2018/19,265
(4) Veterinary science,All postgraduate,All,England,Male,2018/19,140
(4) Veterinary science,All postgraduate,All,England,Other,2018/19,0
(4) Veterinary science,All postgraduate,All,England,Total,2018/19,405
(4) Veterinary science,All postgraduate,All,Scotland,Female,2014/15,20
(4) Veterinary science,All postgraduate,All,Scotland,Male,2014/15,20
(4) Veterinary science,All postgraduate,All,Scotland,Other,2014/15,0
(4) Veterinary science,All postgraduate,All,Scotland,Total,2014/15,40
(4) Veterinary science,All postgraduate,All,Scotland,Female,2015/16,10
(4) Veterinary science,All postgraduate,All,Scotland,Male,2015/16,10
(4) Veterinary science,All postgraduate,All,Scotland,Other,2015/16,0
(4) Veterinary science,All postgraduate,All,Scotland,Total,2015/16,20
(4) Veterinary science,All postgraduate,All,Scotland,Female,2016/17,20
(4) Veterinary science,All postgraduate,All,Scotland,Male,2016/17,15
(4) Veterinary science,All postgraduate,All,Scotland,Other,2016/17,0
(4) Veterinary science,All postgraduate,All,Scotland,Total,2016/17,35
(4) Veterinary science,All postgraduate,All,Scotland,Female,2017/18,15
(4) Veterinary science,All postgraduate,All,Scotland,Male,2017/18,10
(4) Veterinary science,All postgraduate,All,Scotland,Other,2017/18,0
(4) Veterinary science,All postgraduate,All,Scotland,Total,2017/18,25
(4) Veterinary science,All postgraduate,All,Scotland,Female,2018/19,30
(4) Veterinary science,All postgraduate,All,Scotland,Male,2018/19,20
(4) Veterinary science,All postgraduate,All,Scotland,Other,2018/19,0
(4) Veterinary science,All postgraduate,All,Scotland,Total,2018/19,50
(4) Veterinary science,First degree,Full-time,England,Female,2014/15,580
(4) Veterinary science,First degree,Full-time,England,Male,2014/15,200
(4) Veterinary science,First degree,Full-time,England,Other,2014/15,0
(4) Veterinary science,First degree,Full-time,England,Total,2014/15,780
(4) Veterinary science,First degree,Full-time,England,Female,2015/16,595
(4) Veterinary science,First degree,Full-time,England,Male,2015/16,185
(4) Veterinary science,First degree,Full-time,England,Other,2015/16,0
(4) Veterinary science,First degree,Full-time,England,Total,2015/16,780
(4) Veterinary science,First degree,Full-time,England,Female,2016/17,585
(4) Veterinary science,First degree,Full-time,England,Male,2016/17,180
(4) Veterinary science,First degree,Full-time,England,Other,2016/17,0
(4) Veterinary science,First degree,Full-time,England,Total,2016/17,765
(4) Veterinary science,First degree,Full-time,England,Female,2017/18,630
(4) Veterinary science,First degree,Full-time,England,Male,2017/18,160
(4) Veterinary science,First degree,Full-time,England,Other,2017/18,0
(4) Veterinary science,First degree,Full-time,England,Total,2017/18,795
(4) Veterinary science,First degree,Full-time,England,Female,2018/19,705
(4) Veterinary science,First degree,Full-time,England,Male,2018/19,180
(4) Veterinary science,First degree,Full-time,England,Other,2018/19,0
(4) Veterinary science,First degree,Full-time,England,Total,2018/19,885
(4) Veterinary science,First degree,Part-time,England,Female,2014/15,0
(4) Veterinary science,First degree,Part-time,England,Male,2014/15,0
